Id,SalePrice
2,132284.5679848555
4,244226.86664978613
6,178427.1111618239
7,227142.6929455743
17,197963.21395685698
18,386395.0624411218
22,161068.4279104096
27,111701.63751451492
31,101045.45388470836
36,140021.39758821248
39,356757.08171832043
40,266846.01234458294
42,325611.7633996749
46,216250.69193635072
53,175364.32280075474
58,169532.17568006532
61,335167.3326360273
72,199065.89752477527
79,116533.77790181321
80,202753.53478829222
82,155100.42531232565
83,123603.47443557526
85,154254.80526611608
88,126093.51787963601
92,284382.36797150946
93,279044.97944629204
95,204401.40909261917
102,166228.24379339212
103,171309.58125892025
106,224691.19145201377
107,143280.52843853467
110,223813.0573184396
114,191908.54234832225
116,179102.7622088733
117,152343.7849320934
118,147623.43005675124
125,132192.579266748
126,161544.89058264182
127,141951.45910472982
128,222117.6222813254
134,136569.72539272558
135,151848.89756440837
137,263006.67638477974
143,142314.3025445185
147,137024.8709845671
148,157612.7308552713
150,121983.16328264127
156,154325.48026517493
157,137037.85929733686
159,109171.81085760651
161,277559.9558779812
167,141194.87554393586
170,106654.18153729924
171,94040.41134782846
175,104269.10675474477
179,122136.84190709425
181,114385.20216286552
186,181385.36267329162
193,203671.71709672513
194,87071.85469196258
206,85419.63475195676
208,133792.64500131327
210,189937.84142064108
211,138076.77188573236
212,112005.21732398865
214,110055.65770230684
215,127049.98230698203
217,129956.67722875267
222,141066.23159392254
227,141012.99434133424
228,140597.8564903962
233,221541.26671018108
235,138316.17702623637
238,134332.47753614292
241,156799.03662613968
252,199406.4324472536
253,193805.91952730392
256,157341.84685867347
257,146571.64729669763
258,196107.81756900114
259,175306.91973123935
261,141437.17126988023
263,130353.93960228348
266,213924.68194779826
267,230612.65821478827
270,134404.7866571755
271,224967.33473193352
276,101260.52153485705
285,163823.95324695064
288,91908.57121173367
289,136728.75811456857
290,107822.98335911766
291,112755.0754629083
292,123431.60201468668
293,183808.5515829402
294,252794.40724577222
295,200815.9465756121
304,107268.80731013177
322,372764.1911225427
326,185471.57219986393
327,91775.86696260337
328,103719.32978237902
331,76345.98945186663
332,84996.57378226542
333,91504.98850842501
335,141933.88024442713
337,206148.14665193178
342,123366.90631195813
343,167364.38585558877
347,177572.79048379615
350,368651.4142283304
352,241654.80500597766
358,161083.2470450368
359,164429.01517631244
360,162678.8437870846
368,350871.0334756236
369,251153.13150355662
373,184827.61586081682
377,251264.65551726185
383,168442.01642689318
386,230649.43149419158
387,222844.14369638433
390,165478.146267548
391,152076.45161113676
395,149809.81941635435
397,133444.0320399842
398,112491.79230883013
401,112824.7971351797
404,121500.64112456856
408,108189.40103605481
409,128875.1903415017
410,147756.4173254538
418,131793.61409684125
422,450224.8314362802
427,376965.17096827726
431,396131.8420336792
433,507266.4538031828
437,326953.0340671633
438,287990.3134643521
442,353967.62570047897
447,248346.42653816965
459,339574.41159239935
460,272416.3976808041
464,198898.25036807585
465,183782.69517087247
467,168110.26672590835
468,170400.35724166108
474,174221.7868959065
480,196225.8114364519
481,186503.7832961139
483,210109.85783590155
488,191507.744606258
492,181798.30158070978
494,169934.97089201686
499,305558.71870142873
500,298699.8021966679
501,307039.2104675019
503,251683.7535840019
506,222501.1386191431
508,273556.7248744867
511,265296.30364468717
515,231607.85314534497
519,209022.24972224026
521,304454.66614997794
530,242784.6348131794
532,231579.8415986091
534,190080.117203907
540,180414.1283886339
541,142078.85722901442
551,151161.93530308653
552,139677.11681726333
554,113903.25380960527
555,125481.33132292541
556,133811.13356127535
557,128556.60544797826
565,229057.1791798859
566,320452.1949976206
567,157590.48214887467
569,219589.53027166013
570,178185.92412128538
574,197133.24619426177
575,259052.72629301768
576,176932.602901472
577,238289.56106989554
578,229760.83655623154
583,207160.74748743096
584,208776.0756728754
585,145143.9026516833
587,188316.19774087946
593,192332.9157862877
597,208842.79556702322
598,154421.44975612187
599,155802.60580949055
600,106054.72477847419
605,174209.12361563471
607,172063.33810997853
608,152250.54178501669
611,159094.02264303414
616,116785.45224971788
625,158624.01179438303
629,163226.59518125292
630,148235.39598369447
631,132253.3188300978
640,171171.06278695283
642,170632.66979635516
643,126557.99868832999
646,117221.74049366357
647,155779.40293494042
655,84613.26828662031
659,108769.38088156641
663,42659.032820560475
665,100505.85864809083
667,211098.8834256645
673,170898.80068406285
676,127061.8604971355
680,175372.9051478427
682,140237.76526250955
687,165854.88935815223
688,159486.18012978867
692,121976.88682057179
693,113086.88349882852
695,118886.45449054951
697,120051.71807299858
700,162016.99275894527
702,122058.54231221859
703,133217.43023496243
704,104901.63683604343
712,90967.37481448191
713,99117.20293339554
